run_id,experiment_stage,eligible_for_final_claims,evaluation_role,freeze_commit,freeze_tag,dataset_fingerprint,config_hash,pack_id,pack_hash,hierarchy,fold,horizon,context,base_model,seed,summing_matrix_hash,wall_train_sec_sum,top_mae_independent,reconciliation_method,nonnegative,coherence_error_before,coherence_error_after,is_coherent_after,top_mae,bottom_mae_mean
base__disk_ud__f0__h1__persistence__s0__independent__nn0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,disk_boundary,5e4b044e118361db,disk_ud,0,1,32,persistence,0,abe0cd1cb9555ccb,0.0001539570021122,1848015504.270662,independent,False,0.0,0.0,True,1848015504.270662,292520190.6743079
base__disk_ud__f0__h1__persistence__s0__bottom_up__nn0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,disk_boundary,5e4b044e118361db,disk_ud,0,1,32,persistence,0,abe0cd1cb9555ccb,0.0001539570021122,1848015504.270662,bottom_up,False,0.0,0.0,True,1848015504.270662,292520190.6743079
base__disk_ud__f0__h1__persistence__s0__top_down__nn0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,disk_boundary,5e4b044e118361db,disk_ud,0,1,32,persistence,0,abe0cd1cb9555ccb,0.0001539570021122,1848015504.270662,top_down,False,0.0,7.374958464233929e-08,True,1848015504.270662,292520190.6743079
base__disk_ud__f0__h1__persistence__s0__wls__nn0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,disk_boundary,5e4b044e118361db,disk_ud,0,1,32,persistence,0,abe0cd1cb9555ccb,0.0001539570021122,1848015504.270662,wls,False,0.0,0.0,True,1848015504.311834,292520190.68667394
base__disk_ud__f0__h1__persistence__s0__mint__nn0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,disk_boundary,5e4b044e118361db,disk_ud,0,1,32,persistence,0,abe0cd1cb9555ccb,0.0001539570021122,1848015504.270662,mint,False,0.0,0.0,True,1848015504.3405612,292520190.69074094
base__disk_ud__f0__h1__ridge__s0__independent__nn0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,disk_boundary,5e4b044e118361db,disk_ud,0,1,32,ridge,0,abe0cd1cb9555ccb,0.0080393750022267,2194093318.965312,independent,False,1371630337.5730522,1371630337.5730522,False,2194093318.965312,481012423.7164384
base__disk_ud__f0__h1__ridge__s0__bottom_up__nn0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,disk_boundary,5e4b044e118361db,disk_ud,0,1,32,ridge,0,abe0cd1cb9555ccb,0.0080393750022267,2194093318.965312,bottom_up,False,1371630337.5730522,0.0,True,2567684784.788605,481012423.7164384
base__disk_ud__f0__h1__ridge__s0__top_down__nn0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,disk_boundary,5e4b044e118361db,disk_ud,0,1,32,ridge,0,abe0cd1cb9555ccb,0.0080393750022267,2194093318.965312,top_down,False,1371630337.5730522,7.824830930552199e-05,True,2194093318.965312,584216966.6416036
base__disk_ud__f0__h1__ridge__s0__wls__nn0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,disk_boundary,5e4b044e118361db,disk_ud,0,1,32,ridge,0,abe0cd1cb9555ccb,0.0080393750022267,2194093318.965312,wls,False,1371630337.5730522,0.0,True,2281490512.4404535,502534564.2837947
base__disk_ud__f0__h1__ridge__s0__mint__nn0,final,True,outer_evaluation,9f1bebb5d5998aab24fbffe33b048fd16b8095a6,experiment-freeze-v2,bf06dc0e7fe6ff5e,998ed4d20a8987d6,disk_boundary,5e4b044e118361db,disk_ud,0,1,32,ridge,0,abe0cd1cb9555ccb,0.0080393750022267,2194093318.965312,mint,False,1371630337.5730522,0.0,True,2244289937.2821035,527527929.0614483
